Crypto Transactions,,,"To find out more information about our transaction reports, read our help article. https://help.swyftx.com.au/en/articles/4148319-understanding-the-transaction-report",,,,,,,,,,,,,,,,
Date,Time,Event,Asset,Amount,Currency,Value,Rate,AUD Value Fee,AUD Value,Fee Amount,Fee Asset,GST,ExGST,Deposited To,Withdrawn To,Withdrawal Fee,Reference,Transaction ID,UUID
13-08-2021,10:19:16,sell,ETH,0.24119249,AUD,1000,4170.942802,6.01381037,1000,0.00143854,ETH,0.55,5.46,,,,,,ord_CL6Ta6WJkeoxGU9iftvZpK
25-08-2021,20:22:05,sell,RVN,0,AUD,0,0.18036814,0,0,0,RVN,,,,,,,,ord_Tb9GTthbsuWo2B9fG7NRxF
11-12-2021,14:25:43,buy,MATIC,167.3655233,AUD,500,2.96954826,2.9812537,500,1.01025466,MATIC,0.27,2.71,,,,,,ord_HWdVGDr71n4P8WSbTqrgDk
12-12-2021,09:29:59,reward,ADA,0.12881008,,,,0,0.25292788,0, ,,,,,,,,
13-12-2021,09:29:59,reward,ADA,0.16165195,,,,0,0.30091937,0, ,,,,,,,,
13-12-2021,11:20:34,buy,MATIC,87.81326306,AUD,250,2.82986864,1.49060938,250,0.53005993,MATIC,0.14,1.35,,,,,,ord_CF5vnEtKXFhw5bLqX1dzXL
14-12-2021,09:29:59,reward,ADA,0.16167363,,,,0,0.28030922,0, ,,,,,,,,
14-12-2021,11:24:02,buy,MATIC,57.5057379,AUD,150,2.59278474,0.89434333,150,0.34711713,MATIC,0.08,0.81,,,,,,ord_YM96EvWNpxTACe3Ce594dh
15-12-2021,09:29:59,reward,ADA,0.16169532,,,,0,0.2860659,0, ,,,,,,,,
16-12-2021,09:29:59,reward,ADA,0.16171701,,,,0,0.29565558,0, ,,,,,,,,
17-12-2021,09:29:59,reward,ADA,0.16173871,,,,0,0.28134187,0, ,,,,,,,,
18-12-2021,09:29:59,reward,ADA,0.16176041,,,,0,0.27782882,0, ,,,,,,,,
19-12-2021,07:56:39,buy,MATIC,79.27546787,AUD,250,3.13463933,1.49064319,250,0.47852395,MATIC,0.14,1.35,,,,,,ord_QVsZrzwe2PhZuZJRSGLTke
19-12-2021,09:29:59,reward,ADA,0.16178211,,,,0,0.28472264,0, ,,,,,,,,
20-12-2021,07:20:10,buy,MATIC,158.2834303,AUD,500,3.139937,2.98128818,500,0.95543318,MATIC,0.27,2.71,,,,,,ord_7mCUPfyTdhwjMkGmfAA39T
20-12-2021,08:02:35,buy,AVAX,1.93974068,AUD,300,153.7318893,1.78909285,300,0.01170869,AVAX,0.16,1.63,,,,,,ord_BV43bpExPNtSiHxaZ7us1R
20-12-2021,08:04:56,buy,ETH,0.08978235,AUD,500,5535.608746,2.99311174,500,0.00054194,ETH,0.27,2.72,,,,,,ord_KsKjcroJb6JHePwGPGg5Gf
20-12-2021,09:29:59,reward,ADA,0.16180381,,,,0,0.28386651,0, ,,,,,,,,
21-12-2021,09:29:59,reward,ADA,0.16182552,,,,0,0.28174441,0, ,,,,,,,,
22-12-2021,09:29:59,reward,ADA,0.16184723,,,,0,0.28917511,0, ,,,,,,,,
23-12-2021,09:29:59,reward,ADA,0.16186894,,,,0,0.29544238,0, ,,,,,,,,
24-12-2021,09:29:59,reward,ADA,0.16189066,,,,0,0.32914194,0, ,,,,,,,,
25-12-2021,09:29:59,reward,ADA,0.16191238,,,,0,0.3169041,0, ,,,,,,,,
26-12-2021,09:29:59,reward,ADA,0.1619341,,,,0,0.32547936,0, ,,,,,,,,
27-12-2021,09:29:59,reward,ADA,0.16195582,,,,0,0.32684671,0, ,,,,,,,,
28-12-2021,09:29:59,reward,ADA,0.16197755,,,,0,0.33648633,0, ,,,,,,,,
29-12-2021,09:29:59,reward,ADA,0.16199928,,,,0,0.31595889,0, ,,,,,,,,
30-12-2021,09:29:59,reward,ADA,0.16202101,,,,0,0.29484899,0, ,,,,,,,,
31-12-2021,09:29:59,reward,ADA,0.16204275,,,,0,0.3017926,0, ,,,,,,,,
01-01-2022,09:29:59,reward,ADA,0.16206449,,,,0,0.29664452,0, ,,,,,,,,
02-01-2022,09:29:59,reward,ADA,0.16208623,,,,0,0.30611098,0, ,,,,,,,,
03-01-2022,09:29:59,reward,ADA,0.16210797,,,,0,0.30406502,0, ,,,,,,,,
04-01-2022,09:29:59,reward,ADA,0.16212972,,,,0,0.29339232,0, ,,,,,,,,
05-01-2022,09:29:59,reward,ADA,0.16215147,,,,0,0.29668185,0, ,,,,,,,,
06-01-2022,00:06:19,sell,DOGE,1020.8,AUD,234.819719,0.23142353,1.41742285,234.819719,1.41742285,AUD,0.13,1.29,,,,,,ord_EnKQAg3ruqfGAfmfeH7V5P
06-01-2022,00:06:41,buy,ETH,0.04542898,AUD,240,5251.273231,1.43669354,240,0.00027421,ETH,0.13,1.31,,,,,,ord_TrGQhjjnFWNpsHL4hbZPSM
06-01-2022,00:07:24,buy,AVAX,2.05427836,AUD,300,145.160464,1.78908954,300,0.01240007,AVAX,0.16,1.63,,,,,,ord_T5uzvWDtVkeU5jQKLiXCJo
06-01-2022,09:29:59,reward,ADA,0.16217322,,,,0,0.27829357,0, ,,,,,,,,
07-01-2022,09:29:59,reward,ADA,0.16219498,,,,0,0.2877972,0, ,,,,,,,,
08-01-2022,09:29:59,reward,ADA,0.16221674,,,,0,0.27636102,0, ,,,,,,,,
08-01-2022,09:29:59,reward,MATIC,0.17966364,,,,0,0.52623515,0, ,,,,,,,,
09-01-2022,09:29:59,reward,ADA,0.1622385,,,,0,0.26860307,0, ,,,,,,,,
09-01-2022,09:29:59,reward,MATIC,0.18083701,,,,0,0.50671672,0, ,,,,,,,,
10-01-2022,09:29:59,reward,ADA,0.16226027,,,,0,0.26280951,0, ,,,,,,,,
10-01-2022,09:29:59,reward,MATIC,0.18089643,,,,0,0.52872079,0, ,,,,,,,,
11-01-2022,09:29:59,reward,ADA,0.16228203,,,,0,0.25550478,0, ,,,,,,,,
11-01-2022,09:29:59,reward,MATIC,0.18095586,,,,0,0.51951106,0, ,,,,,,,,
12-01-2022,09:29:59,reward,ADA,0.16230381,,,,0,0.26815538,0, ,,,,,,,,
12-01-2022,09:29:59,reward,MATIC,0.18101531,,,,0,0.58559995,0, ,,,,,,,,
13-01-2022,09:29:59,reward,ADA,0.16232558,,,,0,0.29836561,0, ,,,,,,,,
13-01-2022,09:29:59,reward,MATIC,0.18107478,,,,0,0.59733649,0, ,,,,,,,,
14-01-2022,09:29:59,reward,ADA,0.16234736,,,,0,0.27753488,0, ,,,,,,,,
